      Step     Time          Energy         fmax
BFGS:    0 10:27:16       -6.947665        0.1685
BFGS:    1 10:27:19       -6.948312        0.1493
BFGS:    2 10:27:23       -6.949319        0.1215
BFGS:    3 10:27:26       -6.950238        0.0973
BFGS:    4 10:27:30       -6.951073        0.0904
BFGS:    5 10:27:34       -6.951822        0.0852
BFGS:    6 10:27:37       -6.952479        0.0796
BFGS:    7 10:27:41       -6.953001        0.0740
BFGS:    8 10:27:45       -6.953399        0.0686
BFGS:    9 10:27:48       -6.953719        0.0812
BFGS:   10 10:27:52       -6.954009        0.1021
BFGS:   11 10:27:55       -6.954299        0.1181
BFGS:   12 10:27:59       -6.954599        0.1295
BFGS:   13 10:28:02       -6.954914        0.1370
BFGS:   14 10:28:06       -6.955241        0.1415
BFGS:   15 10:28:09       -6.955577        0.1434
BFGS:   16 10:28:12       -6.955919        0.1433
BFGS:   17 10:28:16       -6.956263        0.1417
BFGS:   18 10:28:19       -6.956606        0.1390
BFGS:   19 10:28:23       -6.956946        0.1355
BFGS:   20 10:28:27       -6.957282        0.1315
BFGS:   21 10:28:30       -6.957612        0.1273
BFGS:   22 10:28:34       -6.957934        0.1229
BFGS:   23 10:28:38       -6.958250        0.1186
BFGS:   24 10:28:41       -6.958558        0.1143
BFGS:   25 10:28:45       -6.958859        0.1102
BFGS:   26 10:28:49       -6.959153        0.1062
BFGS:   27 10:28:52       -6.959438        0.1023
BFGS:   28 10:28:56       -6.959716        0.0983
BFGS:   29 10:29:00       -6.959984        0.0943
BFGS:   30 10:29:04       -6.960240        0.0899
BFGS:   31 10:29:08       -6.960484        0.0852
BFGS:   32 10:29:11       -6.960712        0.0800
BFGS:   33 10:29:15       -6.960920        0.0746
BFGS:   34 10:29:19       -6.961091        0.0700
BFGS:   35 10:29:23       -6.961230        0.0673
BFGS:   36 10:29:27       -6.961355        0.0676
BFGS:   37 10:29:31       -6.961513        0.0701
BFGS:   38 10:29:35       -6.961764        0.0711
BFGS:   39 10:29:39       -6.961951        0.0659
BFGS:   40 10:29:43       -6.962108        0.0568
BFGS:   41 10:29:47       -6.962235        0.0457
BFGS:   42 10:29:51       -6.962330        0.0332
BFGS:   43 10:29:55       -6.962392        0.0197
      Step     Time          Energy         fmax
BFGS:    0 10:29:55       -6.962392        0.0197
BFGS:    1 10:29:59       -6.962397        0.0134
BFGS:    2 10:30:02       -6.962403        0.0043
      Step     Time          Energy         fmax
BFGS:    0 10:30:02       -6.087229        0.0102
      Step     Time          Energy         fmax
BFGS:    0 10:30:02       -6.087229        0.0102
BFGS:    1 10:30:04       -6.087231        0.0105
BFGS:    2 10:30:06       -6.087328        0.0204
BFGS:    3 10:30:08       -6.087617        0.0373
BFGS:    4 10:30:10       -6.088076        0.0536
BFGS:    5 10:30:12       -6.088680        0.0660
BFGS:    6 10:30:14       -6.089380        0.0722
BFGS:    7 10:30:16       -6.090093        0.0681
BFGS:    8 10:30:18       -6.090693        0.0487
BFGS:    9 10:30:20       -6.090992        0.0067
      Step     Time          Energy         fmax
BFGS:    0 10:30:35       -7.237636        0.0359
BFGS:    1 10:30:39       -7.254758        0.0223
BFGS:    2 10:30:43       -7.254774        0.0152
BFGS:    3 10:30:47       -7.254788        0.0120
BFGS:    4 10:30:51       -7.254791        0.0097
BFGS:    5 10:30:55       -7.254793        0.0034
      Step     Time          Energy         fmax
BFGS:    0 10:30:55       -6.152002        0.0465
BFGS:    1 10:30:57       -6.137223        0.0593
BFGS:    2 10:30:58       -6.137383        0.0441
BFGS:    3 10:31:00       -6.137518        0.0189
BFGS:    4 10:31:02       -6.137538        0.0033
      Step     Time          Energy         fmax
BFGS:    0 10:31:27       -6.134058        0.0062
BFGS:    1 10:31:29       -6.133499        0.0060
BFGS:    2 10:31:30       -6.133490        0.0140
BFGS:    3 10:31:32       -6.133501        0.0003
